观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
1734043,25174,6264,49807,267591,6172,241289,2861435
1689801,4162,4784,40053,118084,21742,214873,2591312
1842515,6339,4353,21866,69508,2228,226252,2444741
2502753,5948,4969,34224,79854,20492,267960,2420629
2533548,11042,4968,12611,54950,13484,188811,2136877
1490763,6250,3133,14291,119610,970,213280,1897492
1935309,6193,4551,9629,54398,1106,159430,1876557
2905684,9782,10647,15704,105732,1721,235042,1636074
1778878,3553,1057,5245,10033,1921,141806,1494408
1208582,757,686,30600,10100,2783,118770,1378470
