观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
1923966,5586,14973,68067,89626,17407,147089,2491630
2958238,103256,13147,53513,25729,13751,67249,1820336
673609,1247,2743,29680,37696,4660,88028,1594114
846187,1629,3563,36636,61312,17030,56769,1497867
457807,1618,3928,24292,37599,4928,53963,1301141
3354459,28177,15732,41830,45771,30693,191043,1274821
178136,7077,6788,19731,27872,3783,37694,1108689
644852,657,1957,12388,21166,2801,43802,1056791
947391,3878,9942,61366,112426,7977,119887,1035438
,,,,,,,975919
