观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
1930325,48017,16480,97409,371316,23182,411104,4135115
2897927,27029,11105,52473,184401,8009,359993,3597775
675525,9861,20984,22530,81940,16329,106361,2280207
1854594,21603,4704,43784,207307,27842,195286,2025716
1533515,12950,10751,37394,118317,8403,135680,1369643
1116419,14282,6128,5309,13530,8183,76618,1160256
530171,368,669,33150,16118,2131,56374,1034426
734173,8014,3313,5719,13354,1149,43876,921434
441663,1411,1339,19235,23968,4615,47705,825040
1039734,1804,1250,6503,10314,388,76332,807459
