观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
1909205,5521,3572,81416,114334,12545,192801,2087731
848183,21156,6695,17003,61554,5124,141071,1933697
941893,7282,2936,19585,68191,7998,132569,1840566
840605,1048,1288,13390,37847,2144,131135,1582627
562295,7622,8004,20957,32049,4278,69389,1441853
671438,5748,7670,12243,23591,399,92690,1416656
636234,6466,1455,8111,37454,777,86077,1243210
1305177,4233,2305,10282,15500,970,86331,1215617
372089,8285,5942,26908,21089,4402,45294,1212022
603011,2892,1501,16764,31141,933,56668,1195202
