观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
1050503,3286,2967,20092,82849,2769,164762,2061843
1044630,9868,4634,13513,39290,3263,122762,1634653
1115669,15515,3659,14778,38766,6217,96236,1527714
679991,8358,2741,10928,33930,2123,124990,1444414
792721,2281,1382,14974,36851,3824,63773,1238318
437777,1442,929,43452,17307,674,50479,1210443
609605,4505,1959,26464,34657,2609,40676,1100885
943393,36832,5723,19417,70295,5125,121662,942717
570851,9033,4218,8044,18523,5333,39414,879033
484981,5987,1528,9023,23679,3641,34108,855717
