观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
662764,289,1185,76537,21772,1778,32140,1160823
397822,8647,2095,7947,22742,3519,43556,844363
1965619,1420,3220,234694,82920,9599,123577,792663
3755028,31716,10500,30950,194257,14070,381994,700829
998585,4552,1362,8130,16810,3899,70376,622379
619347,6806,3880,13975,28693,3115,52790,448555
266076,951,1304,1585,6503,431,21454,427007
151477,130,300,12206,3284,186,6035,406688
220021,1575,1263,2325,3809,417,13887,350095
667789,1882,997,7697,11411,2946,19546,348017
