观看数量,弹幕数量,评论数量,收藏数量,投币数量,分享数量,点赞数量,综合得分
1084517,3245,2567,17929,9860,10250,77843,1291195
858511,4550,2110,19838,24962,13611,58199,1271021
1697245,1489,1350,21400,12550,9140,80497,885333
2732198,2123,3611,43057,34091,32287,138098,581588
256254,477,711,7638,5534,5767,16164,483746
314361,455,408,4720,1459,1495,22143,441783
480955,1546,1639,14740,12974,10835,39122,429332
362337,184,278,1527,677,1647,14877,403760
185694,473,1530,2828,6719,2422,15544,361870
359771,157,438,15378,8588,1176,40919,347991
